LAMMPS data file via write_data, version 22 Jul 2025, timestep = 0, units = si

10924 atoms
3 atom types

0 0.024 xlo xhi
0 0.024 ylo yhi
0 0.032 zlo zhi

Atoms # sphere

1 1 0.0008 2650 0 0 0 0 0 0
2 1 0.0008 2650 0.000864 0 0 0 0 0
786 2 0.0008 2650 0.0013631006462957293 0.0004608563144499397 0.0005891519379546075 0 0 0
3 1 0.0008 2650 0.001728 0 0 0 0 0
787 2 0.0008 2650 0.0022265761927864718 0.00016361822515534254 0.0006927455781928119 0 0 0
4 1 0.0008 2650 0.0025919999999999997 0 0 0 0 0
788 2 0.0008 2650 0.003023864235382841 0.00026062334296227477 0.0006209508166845768 0 0 0
5 1 0.0008 2650 0.003456 0 0 0 0 0
789 2 0.0008 2650 0.0038857453990869344 0.0003872518477134188 0.0005527778863936773 0 0 0
6 1 0.0008 2650 0.00432 0 0 0 0 0
7 1 0.0008 2650 0.005183999999999999 0 0 0 0 0
1466 2 0.0008 2650 0.0049217747876470295 0.0003489240100826956 0.0007802336103542248 0 0 0
8 1 0.0008 2650 0.0060479999999999996 0 0 0 0 0
791 2 0.0008 2650 0.0062935409150357115 0.000539365274433303 0.0006887103330039787 0 0 0
9 1 0.0008 2650 0.006912 0 0 0 0 0
792 2 0.0008 2650 0.007079760704322802 0.0003919886575711933 0.000676938734688506 0 0 0
10 1 0.0008 2650 0.007776 0 0 0 0 0
793 2 0.0008 2650 0.007877082943056534 0.00045730679014981254 0.0006814664878886654 0 0 0
11 1 0.0008 2650 0.00864 0 0 0 0 0
12 1 0.0008 2650 0.009504 0 0 0 0 0
795 2 0.0008 2650 0.009529955829663877 0.000698537313887194 0.0007827076162267018 0 0 0
13 1 0.0008 2650 0.010367999999999999 0 0 0 0 0
796 2 0.0008 2650 0.010229194230424041 0.0003144169040117983 0.0007228503520302324 0 0 0
797 2 0.0008 2650 0.010911907135607059 0.0007335438503184664 0.0007214719036176531 0 0 0
14 1 0.0008 2650 0.011231999999999999 0 0 0 0 0
798 2 0.0008 2650 0.011732715101461372 0.0006696600943794144 0.0006857547080095821 0 0 0
15 1 0.0008 2650 0.012095999999999999 0 0 0 0 0
799 2 0.0008 2650 0.012525148713319221 0.0005544419385492994 0.0005999906889593822 0 0 0
16 1 0.0008 2650 0.01296 0 0 0 0 0
17 1 0.0008 2650 0.013824 0 0 0 0 0
800 2 0.0008 2650 0.01392552247987115 0.0007707560699365636 0.0007880347137403723 0 0 0
18 1 0.0008 2650 0.014688 0 0 0 0 0
802 2 0.0008 2650 0.015115382151062288 0.0004058054877272184 0.0005867826736387616 0 0 0
19 1 0.0008 2650 0.015552 0 0 0 0 0
803 2 0.0008 2650 0.015992129742440634 0.0002640622880038881 0.0006249840634270344 0 0 0
20 1 0.0008 2650 0.016416 0 0 0 0 0
21 1 0.0008 2650 0.01728 0 0 0 0 0
804 2 0.0008 2650 0.017206341073493014 0.0007529149729479321 0.0007888184200249638 0 0 0
22 1 0.0008 2650 0.018144 0 0 0 0 0
805 2 0.0008 2650 0.017965842638681943 0.000379832843870864 0.0006843803406038207 0 0 0
23 1 0.0008 2650 0.019008 0 0 0 0 0
806 2 0.0008 2650 0.018794951399495483 0.00019059586801798795 0.0007471755966483995 0 0 0
24 1 0.0008 2650 0.019872 0 0 0 0 0
807 2 0.0008 2650 0.019409693367783074 0.000745427095055715 0.0006816031586853392 0 0 0
25 1 0.0008 2650 0.020735999999999997 0 0 0 0 0
1483 2 0.0008 2650 0.02025985307637864 0.0002116085308431214 0.0006913230631644322 0 0 0
26 1 0.0008 2650 0.021599999999999998 0 0 0 0 0
809 2 0.0008 2650 0.021724409647011594 0.0004250603480414078 0.0006662176084052698 0 0 0
27 1 0.0008 2650 0.022463999999999998 0 0 0 0 0
